"","year","state","state_po","county_name","county_fips","office","candidate","party","candidatevotes","totalvotes","version","mode","party_participation"
"109",2000,"VIRGINIA","VA","ALEXANDRIA",51510,"PRESIDENT","AL GORE","DEMOCRAT",33633,55199,20191203,"TOTAL",60.9304516386166
"110",2004,"VIRGINIA","VA","ALEXANDRIA",51510,"PRESIDENT","JOHN KERRY","DEMOCRAT",41116,61515,20191203,"TOTAL",66.8389823620255
"111",2008,"VIRGINIA","VA","ALEXANDRIA",51510,"PRESIDENT","BARACK OBAMA","DEMOCRAT",50473,70364,20191203,"TOTAL",71.7312830424649
"112",2012,"VIRGINIA","VA","ALEXANDRIA",51510,"PRESIDENT","BARACK OBAMA","DEMOCRAT",52199,73411,20191203,"TOTAL",71.1051477299042
"113",2016,"VIRGINIA","VA","ALEXANDRIA",51510,"PRESIDENT","HILLARY CLINTON","DEMOCRAT",57242,75770,20191203,"TOTAL",75.5470502837535
"114",2020,"VIRGINIA","VA","ALEXANDRIA CITY",51510,"US PRESIDENT","JOSEPH R BIDEN JR","DEMOCRAT",55940,82521,20210622,"ABSENTEE",67.7888052738091
"115",2000,"OKLAHOMA","OK","ALFALFA",40003,"PRESIDENT","GEORGE W. BUSH","REPUBLICAN",1886,2507,20191203,"TOTAL",75.2293577981651
"116",2004,"OKLAHOMA","OK","ALFALFA",40003,"PRESIDENT","GEORGE W. BUSH","REPUBLICAN",2201,2671,20191203,"TOTAL",82.4035941594908
"117",2008,"OKLAHOMA","OK","ALFALFA",40003,"PRESIDENT","JOHN MCCAIN","REPUBLICAN",2023,2434,20191203,"TOTAL",83.114215283484
"118",2012,"OKLAHOMA","OK","ALFALFA",40003,"PRESIDENT","MITT ROMNEY","REPUBLICAN",1761,2083,20191203,"TOTAL",84.5415266442631
"119",2016,"OKLAHOMA","OK","ALFALFA",40003,"PRESIDENT","DONALD TRUMP","REPUBLICAN",1933,2258,20191203,"TOTAL",85.6067316209035
"120",2020,"OKLAHOMA","OK","ALFALFA",40003,"US PRESIDENT","DONALD J TRUMP","REPUBLICAN",1547,2262,20210622,"ELECTION DAY",68.3908045977011
"121",2000,"MICHIGAN","MI","ALGER",26003,"PRESIDENT","GEORGE W. BUSH","REPUBLICAN",2142,4366,20191203,"TOTAL",49.0609253321118
"122",2004,"MICHIGAN","MI","ALGER",26003,"PRESIDENT","JOHN KERRY","DEMOCRAT",2395,4765,20191203,"TOTAL",50.2623294858342
"123",2008,"MICHIGAN","MI","ALGER",26003,"PRESIDENT","BARACK OBAMA","DEMOCRAT",2472,4750,20191203,"TOTAL",52.0421052631579
"124",2012,"MICHIGAN","MI","ALGER",26003,"PRESIDENT","MITT ROMNEY","REPUBLICAN",2330,4618,20191203,"TOTAL",50.4547423126895
"125",2016,"MICHIGAN","MI","ALGER",26003,"PRESIDENT","DONALD TRUMP","REPUBLICAN",2585,4518,20191203,"TOTAL",57.2155821159805
"126",2020,"MICHIGAN","MI","ALGER",26003,"PRESIDENT","DONALD J TRUMP","REPUBLICAN",3014,5128,20210622,"TOTAL",58.7753510140406
"127",2000,"IOWA","IA","ALLAMAKEE",19005,"PRESIDENT","GEORGE W. BUSH","REPUBLICAN",3277,6462,20191203,"TOTAL",50.7118539151965
"128",2004,"IOWA","IA","ALLAMAKEE",19005,"PRESIDENT","GEORGE W. BUSH","REPUBLICAN",3530,7062,20191203,"TOTAL",49.9858397054659
"129",2008,"IOWA","IA","ALLAMAKEE",19005,"PRESIDENT","BARACK OBAMA","DEMOCRAT",3971,7059,20191203,"TOTAL",56.254426972659
"130",2012,"IOWA","IA","ALLAMAKEE",19005,"PRESIDENT","BARACK OBAMA","DEMOCRAT",3553,6934,20191203,"TOTAL",51.2402653591001
"131",2016,"IOWA","IA","ALLAMAKEE",19005,"PRESIDENT","DONALD TRUMP","REPUBLICAN",4093,6923,20191203,"TOTAL",59.1217680196447
"132",2020,"IOWA","IA","ALLAMAKEE",19005,"PRESIDENT","DONALD J TRUMP","REPUBLICAN",2699,7422,20210622,"ABSENTEE",36.3648612233899
"133",2000,"MICHIGAN","MI","ALLEGAN",26005,"PRESIDENT","GEORGE W. BUSH","REPUBLICAN",28197,44891,20191203,"TOTAL",62.81214497338
"134",2004,"MICHIGAN","MI","ALLEGAN",26005,"PRESIDENT","GEORGE W. BUSH","REPUBLICAN",34022,53907,20191203,"TOTAL",63.1123972767915
"135",2008,"MICHIGAN","MI","ALLEGAN",26005,"PRESIDENT","JOHN MCCAIN","REPUBLICAN",30061,55279,20191203,"TOTAL",54.3805061596628
"136",2012,"MICHIGAN","MI","ALLEGAN",26005,"PRESIDENT","MITT ROMNEY","REPUBLICAN",31123,52619,20191203,"TOTAL",59.1478363328836
"137",2016,"MICHIGAN","MI","ALLEGAN",26005,"PRESIDENT","DONALD TRUMP","REPUBLICAN",34183,55786,20191203,"TOTAL",61.2752303445309
"138",2020,"MICHIGAN","MI","ALLEGAN",26005,"PRESIDENT","DONALD J TRUMP","REPUBLICAN",41392,67094,20210622,"TOTAL",61.6925507496945
"139",2000,"NEW YORK","NY","ALLEGANY",36003,"PRESIDENT","GEORGE W. BUSH","REPUBLICAN",11436,18689,20191203,"TOTAL",61.1910749638825
"140",2004,"MARYLAND","MD","ALLEGANY",24001,"PRESIDENT","GEORGE W. BUSH","REPUBLICAN",18980,29855,20191203,"TOTAL",63.5739407134483
"141",2008,"MARYLAND","MD","ALLEGANY",24001,"PRESIDENT","JOHN MCCAIN","REPUBLICAN",18405,29742,20191203,"TOTAL",61.8821868065362
"142",2012,"MARYLAND","MD","ALLEGANY",24001,"PRESIDENT","MITT ROMNEY","REPUBLICAN",19230,29850,20191203,"TOTAL",64.4221105527638
"143",2016,"MARYLAND","MD","ALLEGANY",24001,"PRESIDENT","DONALD TRUMP","REPUBLICAN",21270,30654,20191203,"TOTAL",69.3873556468976
